country,lat,lon,region
Peru,-9.171243,-74.356877,Americas
Philippines,15.94804192,121.4225998,Asia
Poland,52.129039,19.393702,Europe
Portugal,39.679908,-7.968665,Europe
Qatar,25.285332,51.193252,Asia
Romania,45.8391304,24.98465347,Europe
Russia,61.760191,99.876844,Europe
Rwanda,-1.999989986,29.92605972,Africa
Réunion,-21.13318634,55.532444,Africa
S. Korea,36.451155,127.861144,Asia
Saint Kitts and Nevis,17.363747,-62.754593,Americas
Saint Lucia,13.89854813,-60.96730804,Americas
Saint Martin,18.08255005,-63.05224991,Americas
San Marino,43.93813324,12.46339321,Europe
Saudi Arabia,24.12412,44.550495,Asia
Senegal,14.35961437,-14.46845913,Africa
Serbia,44.23085403,20.79376602,Europe
Seychelles,-4.678658009,55.4672966,Africa
Sierra Leone,8.484444,-13.234444,Africa
Singapore,1.35757,103.810225,Asia
Sint Maarten,18.08255005,-63.05224991,Americas
Slovakia,48.7074852,19.48487663,Europe
Slovenia,46.11955643,14.82176018,Europe
Somalia,6.5336451,48.0761719,Africa
South Africa,-29.002312,25.080323,Africa
Spain,40.387696,-3.557391,Europe
Sri Lanka,7.641644955,80.69197845,Asia
St. Barth,17.90167236,-62.82939148,Americas
St. Vincent Grenadines,13.012296,-61.22773,Americas
Sudan,15.983182,29.949295,Africa
Suriname,4.139070034,-55.91132736,Americas
Sweden,62.821792,16.735385,Europe
Switzerland,46.80021,8.229198,Europe
Syria,35.02481842,38.52185059,Asia
Taiwan,23.748992,120.971281,Asia
Tanzania,-6.267545223,34.81095886,Africa
Thailand,15.13067341,101.0177841,Asia
Timor-Leste,-8.797422409,125.9454117,Asia
Togo,8.530759811,0.976809025,Africa
Trinidad and Tobago,10.42374516,-61.29653168,Americas
Tunisia,34.114462,9.571987,Africa
Turkey,39.055697,35.109188,Asia
Turks and Caicos,21.804132,-72.305832,Americas
UAE,23.907182,54.333533,Asia
UK,53.943838,-2.550564,Europe
USA,39.49591446,-98.9899826,Americas
Uganda,1.277274966,32.38970184,Africa
Ukraine,49.16029358,31.27812195,Europe
Uruguay,-32.969738,-56.056064,Americas
Uzbekistan,41.76349258,63.15152359,Asia
Vatican City,41.90339661,12.45283127,Europe
Venezuela,7.156985,-66.223241,Americas
Vietnam,16.16769218,107.8390503,Asia
Zambia,-13.46312809,27.78738976,Africa
Zimbabwe,-19.00045776,29.87183762,Africa
